Word,Translation,,,
ability,способность, [my_tag_3 ], [my_tag_4],
about,о,,,
above,выше, [my_tag_1],,
abuse,злоупотребление,,,
across,через,,,
act,действие,,,
action,действие, [my_tag_2  ], [ my_tag_3], [  my_tag_4 ]
actions,действия,,,
active,активный,,,
activities,активности,,,
activity,активность, [my_tag_2], [my_tag_3],
actually,на самом деле,,,
add,добавить, [my_tag_2], [my_tag_4],
added,добавлен,,,
adding,добавляя, [my_tag_1],,
address,адрес,,,
administration,администрация,,,
administer,администрировать, [my_tag_1],,
admit,признать,,,
adolescence,юность,,,
adult,взрослый,,,
advantage,преимущество, [my_tag_1],,
advice,совет,,,
affect,влияние,,,
affected,оказавший воздействие,[my_tag_1],,
affection,чувство,,,
afford,занять, [my_tag_2], [my_tag_3],
afraid,боится,,,
after,после,,,
against,против, [my_tag_1],,
age,возраст,,,
ages,взрослые,,,
agencies,агентства, [my_tag_1],,
agency,агентство,,,
agent,агент, [my_tag_1],,
agree,поддерживать,,,
agreeable,добродушный, [my_tag_1],,
agreement,соглашение,,,
aid,помощь,,,
aisle,столбец,,,
alarm,тревога,,,